I B-Premise
risultati I-Premise
del I-Premise
questionario I-Premise
sulla I-Premise
qualità I-Premise
della I-Premise
vita I-Premise
prima I-Premise
e I-Premise
5 I-Premise
anni I-Premise
dopo I-Premise
il I-Premise
trattamento I-Premise
erano I-Premise
disponibili I-Premise
per I-Premise
103 I-Premise
pazienti I-Premise
senza I-Premise
differenze I-Premise
tra I-Premise
i I-Premise
bracci I-Premise
-70 I-Premise
e I-Premise
80-Gy. I-Premise

gravi O
malattie O
cardiovascolari, O
fratture O
da O
osteoporosi O
e O
cancro O
al O
seno. O

Non B-Premise
abbiamo I-Premise
trovato I-Premise
differenze I-Premise
nei I-Premise
costi I-Premise
di I-Premise
follow-up. I-Premise

Questo O
studio O
è O
stato O
condotto O
sulla O
base O
di O
uno O
studio O
pilota O
che O
ha O
dimostrato O
che O
la O
pastiglia O
BCoG O
è O
tollerabile O
e O
microbiologicamente O
efficace. O

Il O
peso O
corporeo O
e O
il O
grasso O
corporeo O
totale O
sono O
diminuiti O
in O
modo O
simile O
nel O
tempo O
in O
tutti O
i O
gruppi O
(P O
< O
0,005), O
mentre O
la O
massa O
corporea O
magra O
è O
rimasta O
invariata O
durante O
il O
follow-up O
rispetto O
ai O
valori O
preoperatori. O

Il B-Premise
costo I-Premise
totale I-Premise
di I-Premise
utilizzo I-Premise
delle I-Premise
risorse I-Premise
mediche I-Premise
per I-Premise
paziente I-Premise
è I-Premise
stato I-Premise
superiore I-Premise
dell' I-Premise
8,9% I-Premise
con I-Premise
la I-Premise
combinazione: I-Premise
24.475 I-Premise
dollari I-Premise
per I-Premise
la I-Premise
terapia I-Premise
combinata I-Premise
contro I-Premise
22.477 I-Premise
dollari I-Premise
per I-Premise
il I-Premise
docetaxel I-Premise
monoterapico. I-Premise

A O
9 O
mesi, O
i O
pazienti O
sono O
stati O
sottoposti O
a O
un O
test O
di O
stimolazione O
rhTSH, O
scansione O
diagnostica O
del O
corpo O
intero O
(dxWBS) O
e O
ecografia O
del O
collo. O

Un O
trattamento O
corpo-mente O
ben O
tollerato O
ed O
efficace O
per O
le O
vampate O
di O
calore O
sarebbe O
di O
grande O
valore. O

I O
pazienti O
sono O
stati O
assegnati O
in O
modo O
casuale O
a O
paclitaxel O
135 O
mg/ O
m O
(2) O
per O
24 O
ore O
più O
Cis O
50 O
mg/ O
m O
(2) O
il O
giorno O
2 O
ogni O
3 O
settimane O
(PC, O
braccio O
di O
riferimento) O
"; O
" O
vinorelbina O
30 O
mg/ O
m O
(2) O
i O
giorni O
1 O
e O
8 O
più O
Cis O
50 O
mg/ O
m O
(2) O
il O
giorno O
1 O
ogni O
3 O
settimane O
(VC) O
"; O
" O
gemcitabina O
1.000 O
mg/ O
m O
(2) O
i O
giorni O
1 O
e O
8 O
più O
Cis O
50 O
mg/ O
m O
(2) O
il O
giorno O
1 O
ogni O
3 O
settimane O
(GC) O
"; O
" O
o O
topotecan O
0,75 O
mg/ O
m O
(2) O

Da B-Premise
3 I-Premise
a I-Premise
9 I-Premise
mesi, I-Premise
le I-Premise
variazioni I-Premise
delle I-Premise
scale I-Premise
e I-Premise
delle I-Premise
sotto-scale I-Premise
di I-Premise
QoL I-Premise
non I-Premise
erano I-Premise
più I-Premise
statisticamente I-Premise
diverse I-Premise
in I-Premise
entrambi I-Premise
i I-Premise
gruppi I-Premise
di I-Premise
pazienti. I-Premise

Dopo O
un O
pre-test O
su O
313 O
pazienti, O
i O
pazienti O
che O
avevano O
bisogno O
di O
assistenza O
infermieristica O
distrettuale O
e O
quelli O
che O
non O
avevano O
bisogno O
di O
assistenza O
infermieristica O
distrettuale O
a O
casa O
sono O
stati O
assegnati O
in O
modo O
casuale O
a O
un O
gruppo O
di O
controllo O
o O
di O
intervento. O

La O
principale O
misura O
di O
risultato O
sono O
gli O
anni O
di O
vita O
corretti O
per O
la O
qualità O
(QALY). O

L' O
assunzione O
nutrizionale O
(determinata O
dalla O
storia O
alimentare) O
e O
lo O
stato O
(determinato O
dalla O
valutazione O
globale O
soggettiva O
di O
Ottery) O
e O
la O
qualità O
della O
vita O
(determinata O
dall' O
Organizzazione O
europea O
per O
la O
ricerca O
e O
il O
trattamento O
del O
cancro, O
questionario O
sulla O
qualità O
della O
vita O
versione O
3.0 O
[ O
EORTC O
QLQ-C30 O
]) O
sono O
stati O
valutati O
all' O
inizio, O
alla O
fine O
del O
periodo O
di O
prova O
e O
a O
3 O
mesi. O

Le O
tossicità O
frequenti O
di O
grado O
3 O
o O
4 O
per O
DCF O
e O
CF O
sono O
state: O
neutropenia O
(82% O
contro O
57%), O
stomatite O
(21% O
contro O
27%), O
diarrea O
(19% O
contro O
8%), O
letargia O
(19% O
contro O
14%). O

La B-Premise
chemioterapia I-Premise
di I-Premise
induzione I-Premise
è I-Premise
stata I-Premise
completata I-Premise
nel I-Premise
78% I-Premise
dei I-Premise
pazienti. I-Premise

Dopo O
il O
primo O
e O
il O
secondo O
ciclo O
IAD O
il O
92% O
e O
il O
46%, O
rispettivamente, O
avevano O
un O
testosterone O
normalizzato. O

Una O
percentuale O
maggiore O
di O
pazienti O
trattati O
con O
placebo O
ha O
avuto O
eventi O
legati O
allo O
scheletro O
rispetto O
a O
quelli O
trattati O
con O
acido O
zoledronico O
a O
4 O
mg O
(44,2% O
rispetto O
al O
33,2%); O
" O
differenza O
= O
- O
11,0%; O
intervallo O
di O
confidenza O
[IC] O
del O
95% O
= O
- O
20,3% O
a O
- O
1,8% O
"; O
" O
P O
= O
0,021%) O
o O
a O
quelli O
trattati O
con O
acido O
zoledronico O
a O
8/4 O
mg O
(38,5%); O
" O
differenza O
rispetto O
al O
placebo O
= O
- O
5,8%; O
95% O
CI O
= O
- O
15,1% O
a O
3,6% O
"; O
" O
P O
= O
0,222%). O

Per O
determinare O
