The B-Claim
16-week I-Claim
regimen I-Claim
should I-Claim
not I-Claim
be I-Claim
used I-Claim
instead I-Claim
of I-Claim
a I-Claim
standard-dose I-Claim
regimen I-Claim
without I-Claim
careful I-Claim
consideration I-Claim
of I-Claim
the I-Claim
16-week I-Claim
regimen I-Claim
's I-Claim
pros I-Claim
and I-Claim
cons I-Claim
, I-Claim
which I-Claim
include I-Claim
its I-Claim
complicated I-Claim
schedule I-Claim
. I-Claim

A B-Claim
combination I-Claim
regimen I-Claim
of I-Claim
MA I-Claim
and I-Claim
thalidomide I-Claim
is I-Claim
more I-Claim
effective I-Claim
than I-Claim
MA I-Claim
alone I-Claim
in I-Claim
the I-Claim
treatment I-Claim
of I-Claim
CACS I-Claim
. I-Claim

HRQOL B-Claim
and I-Claim
AEs I-Claim
were I-Claim
similar I-Claim
with I-Claim
exemestane I-Claim
and I-Claim
anastrozole I-Claim
. I-Claim

Results B-Claim
showed I-Claim
a I-Claim
significant I-Claim
increase I-Claim
in I-Claim
pain I-Claim
knowledge I-Claim
in I-Claim
patients I-Claim
who I-Claim
received I-Claim
the I-Claim
Pain I-Claim
Education I-Claim
Program I-Claim
and I-Claim
a I-Claim
significant I-Claim
decrease I-Claim
in I-Claim
pain I-Claim
intensity I-Claim
. I-Claim

These B-Claim
data I-Claim
demonstrated I-Claim
a I-Claim
significant I-Claim
4.5-month I-Claim
median I-Claim
OS I-Claim
advantage I-Claim
with I-Claim
the I-Claim
lapatinib I-Claim
and I-Claim
trastuzumab I-Claim
combination I-Claim
and I-Claim
support I-Claim
dual I-Claim
HER2 I-Claim
blockade I-Claim
in I-Claim
patients I-Claim
with I-Claim
heavily I-Claim
pretreated I-Claim
HER2-positive I-Claim
MBC I-Claim
. I-Claim

Hot B-Claim
flashes I-Claim
are I-Claim
a I-Claim
significant I-Claim
problem I-Claim
for I-Claim
many I-Claim
breast I-Claim
cancer I-Claim
survivors I-Claim
. I-Claim

Distress B-Claim
reduction I-Claim
is I-Claim
highlighted I-Claim
as I-Claim
an I-Claim
important I-Claim
mechanism I-Claim
by I-Claim
which I-Claim
health I-Claim
can I-Claim
be I-Claim
improved I-Claim
. I-Claim

The B-Claim
present I-Claim
analysis I-Claim
confirms I-Claim
that I-Claim
survival I-Claim
of I-Claim
men I-Claim
with I-Claim
metastatic I-Claim
HRPC I-Claim
is I-Claim
significantly I-Claim
longer I-Claim
after I-Claim
treatment I-Claim
with I-Claim
D3P I-Claim
than I-Claim
with I-Claim
MP I-Claim
. I-Claim

Improvements B-Claim
were I-Claim
seen I-Claim
for I-Claim
symptom I-Claim
scores I-Claim
over I-Claim
the I-Claim
study I-Claim
period I-Claim
. I-Claim

There B-Claim
is I-Claim
no I-Claim
consensus I-Claim
on I-Claim
an I-Claim
accepted I-Claim
intervention I-Claim
that I-Claim
significantly I-Claim
reduces I-Claim
its I-Claim
severity I-Claim
. I-Claim

Median B-Premise
survival I-Premise
was I-Premise
14 I-Premise
months I-Premise
with I-Premise
MMC I-Premise
and I-Premise
15 I-Premise
months I-Premise
in I-Premise
5-FU I-Premise
alone I-Premise
";" I-Premise
one-year I-Premise
survival I-Premise
51.7 I-Premise
% I-Premise
vs. I-Premise
57.2 I-Premise
% I-Premise
. I-Premise

GHS B-Premise
change I-Premise
scores I-Premise
were I-Premise
-0.5 I-Premise
and I-Premise
-7.1 I-Premise
( I-Premise
P I-Premise
= I-Premise
.008 I-Premise
) I-Premise
at I-Premise
8 I-Premise
weeks I-Premise
and I-Premise
were I-Premise
-3.6 I-Premise
and I-Premise
-15.2 I-Premise
( I-Premise
P I-Premise
= I-Premise
.008 I-Premise
) I-Premise
at I-Premise
16 I-Premise
weeks I-Premise
for I-Premise
cetuximab I-Premise
and I-Premise
BSC I-Premise
, I-Premise
respectively I-Premise
. I-Premise

The B-Premise
rate I-Premise
of I-Premise
endometrial I-Premise
cancer I-Premise
was I-Premise
increased I-Premise
in I-Premise
the I-Premise
tamoxifen I-Premise
group I-Premise
( I-Premise
risk I-Premise
ratio I-Premise
= I-Premise
2.53 I-Premise
";" I-Premise
95 I-Premise
% I-Premise
confidence I-Premise
interval I-Premise
= I-Premise
1.35-4.97 I-Premise
) I-Premise
";" I-Premise
this I-Premise
increased I-Premise
risk I-Premise
occurred I-Premise
predominantly I-Premise
in I-Premise
women I-Premise
aged I-Premise
50 I-Premise
years I-Premise
or I-Premise
older I-Premise
. I-Premise

Quality B-Premise
of I-Premise
life I-Premise
evaluated I-Premise
6 I-Premise
months I-Premise
after I-Premise
random I-Premise
assignment I-Premise
using I-Premise
the I-Premise
30-item I-Premise
Quality I-Premise
of I-Premise
Life I-Premise
Questionnaire I-Premise
was I-Premise
not I-Premise
significantly I-Premise
different I-Premise
between I-Premise
the I-Premise
two I-Premise
groups I-Premise
of I-Premise
randomly I-Premise
assigned I-Premise
patients I-Premise
. I-Premise

There B-Premise
were I-Premise
no I-Premise
significant I-Premise
differences I-Premise
between I-Premise
groups I-Premise
for I-Premise
appetite I-Premise
( I-Premise
P I-Premise
= I-Premise
.78 I-Premise
) I-Premise
or I-Premise
other I-Premise
symptoms I-Premise
, I-Premise
weight I-Premise
( I-Premise
P I-Premise
= I-Premise
.17 I-Premise
) I-Premise
, I-Premise
FAACT I-Premise
score I-Premise
( I-Premise
P I-Premise
= I-Premise
.95 I-Premise
) I-Premise
, I-Premise
toxicity I-Premise
, I-Premise
or I-Premise
survival I-Premise
from I-Premise
baseline I-Premise
to I-Premise
day I-Premise
28 I-Premise
. I-Premise

Patients B-Premise
allocated I-Premise
to I-Premise
oxaliplatin I-Premise
plus I-Premise
LV5FU2 I-Premise
had I-Premise
significantly I-Premise
longer I-Premise
progression-free I-Premise
survival I-Premise
( I-Premise
median I-Premise
, I-Premise
9.0 I-Premise
v I-Premise
6.2 I-Premise
months I-Premise
";" I-Premise
P I-Premise
=.0003 I-Premise
) I-Premise
and I-Premise
better I-Premise
response I-Premise
rate I-Premise
( I-Premise
50.7 I-Premise
% I-Premise
v I-Premise
22.3 I-Premise
% I-Premise
";" I-Premise
P I-Premise
=.0001 I-Premise
) I-Premise
when I-Premise
compared I-Premise
with I-Premise
the I-Premise
control I-Premise
arm I-Premise
. I-Premise

Median B-Premise
overall I-Premise
survival I-Premise
was I-Premise
43.1 I-Premise
months I-Premise
for I-Premise
the I-Premise
TC-Top I-Premise
arm I-Premise
versus I-Premise
44.5 I-Premise
months I-Premise
for I-Premise
the I-Premise
TC I-Premise
arm I-Premise
( I-Premise
stratum-adjusted I-Premise
HR I-Premise
= I-Premise
1.01 I-Premise
[ I-Premise
95 I-Premise
% I-Premise
CI I-Premise
= I-Premise
0.86 I-Premise
to I-Premise
1.18 I-Premise
] I-Premise
";" I-Premise
P I-Premise
= I-Premise
.885 I-Premise
) I-Premise
. I-Premise

In B-Premise
patients I-Premise
in I-Premise
group I-Premise
1 I-Premise
who I-Premise
had I-Premise
gynecomastia I-Premise
or I-Premise
breast I-Premise
pain I-Premise
a I-Premise
significant I-Premise
decrease I-Premise
in I-Premise
symptoms I-Premise
was I-Premise
achieved I-Premise
in I-Premise
those I-Premise
receiving I-Premise
tamoxifen I-Premise
( I-Premise
p I-Premise
< I-Premise
0.05 I-Premise
) I-Premise
. I-Premise

The B-Premise
CCSP I-Premise
patients I-Premise
frequently I-Premise
used I-Premise
the I-Premise
CCSP I-Premise
to I-Premise
manage I-Premise
psychological I-Premise
( I-Premise
51 I-Premise
% I-Premise
) I-Premise
and I-Premise
sleep I-Premise
problems I-Premise
( I-Premise
60 I-Premise
% I-Premise
) I-Premise
. I-Premise

The B-Premise
-1 I-Premise
, I-Premise
-2 I-Premise
, I-Premise
and I-Premise
3-year I-Premise
survival I-Premise
rates I-Premise
were I-Premise
88.9 I-Premise
% I-Premise
, I-Premise
44.4 I-Premise
% I-Premise
, I-Premise
and I-Premise
16.7 I-Premise
% I-Premise
for I-Premise
the I-Premise
vaccine I-Premise
group I-Premise
, I-Premise
respectively I-Premise
, I-Premise
and I-Premise
75.0 I-Premise
% I-Premise
, I-Premise
18.8 I-Premise
% I-Premise
, I-Premise
and I-Premise
0 I-Premise
% I-Premise
, I-Premise
respectively I-Premise
, I-Premise
for I-Premise
the I-Premise
control I-Premise
group I-Premise
, I-Premise
( I-Premise
P I-Premise
= I-Premise
0.299 I-Premise
, I-Premise
0.0035 I-Premise
, I-Premise
0.0014 I-Premise
, I-Premise
respectively I-Premise
) I-Premise
. I-Premise

However O
, O
few O
studies O
have O
assessed O
whether O
changes O
in O
depression O
symptoms O
are O
associated O
with O
survival O
. O

Herein O
, O
we O
report O
results O
of O
an O
open-label O
, O
multicenter O
phase O
II O
mRCC O
study O
of O
sunitinib O
administered O
on O
a O
continuous O
once-daily O
dosing O
regimen O
. O

The O
physiological O
and O
psychological O
stress O
that O
brain O
tumor O
patients O
undergo O
during O
the O
entire O
surgical O
experience O
can O
considerably O
affect O
several O
aspects O
of O
their O
hospitalization O
. O

Seventy-six O
patients O
were O
randomly O
assigned O
to O
each O
study O
arm O
. O

This O
study O
focussed O
on O
the O
QoL O
in O
patients O
after O
oesophagectomy O
for O
cancer O
, O
comparing O
the O
method O
of O
reconstruction O
( O
narrow O
gastric O
tube O
vs O
whole O
stomach O
) O
. O

Our O
purpose O
was O
to O
assess O
the O
impact O
of O
cisplatin O
( O
C O
) O
versus O
cisplatin O
plus O
paclitaxel O
( O
CP O
) O
on O
overall O
QOL O
and O
pain O
in O
cervical O
cancer O
patients O
. O

All O
patients O
were O
randomized O
to O
receive O
half O
of O
a O
sachet O
of O
imiquimod O
5 O
% O
cream O
twice O
weekly O
on O
half O
of O
their O
face O
and O
two O
sessions O
of O
PDT O
with O
20 O
% O
solution O
of O
ALA O
applied O
for O
1 O
hour O
to O
the O
other O
side O
of O
the O
face O
. O

Few O
well-designed O
studies O
have O
investigated O
whether O
these O
impairments O
can O
be O
prevented O
. O

Intervention O
group O
patients O
received O
the O
Pain O
Education O
Program O
in O
the O
hospital O
, O
and O
3 O
and O
7 O
days O
postdischarge O
by O
telephone O
";" O
this O
was O
done O
by O
nurses O
who O
were O
specially O
trained O
as O
pain O
counselors O
. O

A O
total O
of O
646 O
node-positive O
, O
receptor-negative O
patients O
were O
randomly O
assigned O
to O
receive O
either O
the O
1 O
6-week O
regimen O
or O
six O
cycles O
of O
CAF O
. O

Hence O
, O
nurse-led B-Claim
telephone I-Claim
follow-up I-Claim
seems I-Claim
an I-Claim
appropriate I-Claim
way I-Claim
to I-Claim
reduce I-Claim
clinic I-Claim
visits I-Claim
and I-Claim
represents I-Claim
an I-Claim
accepted I-Claim
alternative I-Claim
strategy I-Claim
. I-Claim

Finally O
, O
black B-Premise
women I-Premise
and I-Premise
white I-Premise
women I-Premise
were I-Premise
similar I-Premise
in I-Premise
terms I-Premise
of I-Premise
how I-Premise
they I-Premise
benefited I-Premise
from I-Premise
the I-Premise
MBAT I-Premise
intervention I-Premise
, I-Premise
even I-Premise
though I-Premise
white I-Premise
participants I-Premise
tended I-Premise
to I-Premise
have I-Premise
higher I-Premise
educational I-Premise
level I-Premise
and I-Premise
marital I-Premise
status I-Premise
. I-Premise

The B-Claim
findings I-Claim
support I-Claim
the I-Claim
case I-Claim
for I-Claim
assessment I-Claim
of I-Claim
health-related I-Claim
QoL I-Claim
in I-Claim
relation I-Claim
to I-Claim
head-and-neck I-Claim
cancer I-Claim
using I-Claim
a I-Claim
site-specific I-Claim
approach I-Claim
. O

Parenteral B-Claim
feeding I-Claim
was I-Claim
associated I-Claim
with I-Claim
the I-Claim
highest I-Claim
rate I-Claim
of I-Claim
nutrition-related I-Claim
complications I-Claim
, I-Claim
whereas O
enteral B-Claim
feeding I-Claim
reduced I-Claim
quality I-Claim
of I-Claim
life I-Claim
most I-Claim
extensively I-Claim
. I-Claim

Experimental B-Claim
surgery I-Claim
on I-Claim
pigs I-Claim
has I-Claim
suggested I-Claim
that I-Claim
a I-Claim
coloplasty I-Claim
pouch I-Claim
( I-Claim
CP I-Claim
) I-Claim
may I-Claim
be I-Claim
a I-Claim
useful I-Claim
alternative I-Claim
. O

Low-frequency B-Premise
low-intensity I-Premise
electrotherapy I-Premise
did I-Premise
not I-Premise
reduce I-Premise
lymphoedema I-Premise
volume I-Premise
( I-Premise
mean I-Premise
of I-Premise
change I-Premise
= I-Premise
19.77 I-Premise
mL I-Premise
, I-Premise
P I-Premise
= I-Premise
0.36 I-Premise
) I-Premise
, I-Premise
but O
significant B-Premise
reductions I-Premise
were I-Premise
observed I-Premise
in I-Premise
pain I-Premise
, I-Premise
heaviness I-Premise
and I-Premise
tightness I-Premise
( I-Premise
mean I-Premise
of I-Premise
change I-Premise
= I-Premise
13.1 I-Premise
, I-Premise
16.2 I-Premise
and I-Premise
6.4 I-Premise
mm I-Premise
, I-Premise
respectively I-Premise
) I-Premise
, I-Premise
and I-Premise
FACT-B+4 I-Premise
summaries I-Premise
improved I-Premise
significantly I-Premise
( I-Premise
Trial I-Premise
Outcome I-Premise
Index I-Premise
mean I-Premise
of I-Premise
change I-Premise
= I-Premise
5.4 I-Premise
, I-Premise
P I-Premise
= I-Premise
0.015 I-Premise
) I-Premise
. I-Premise

Notably O
, O
patients B-Premise
receiving I-Premise
FLO I-Premise
or I-Premise
FLOT I-Premise
as I-Premise
palliative I-Premise
treatment I-Premise
( I-Premise
n I-Premise
= I-Premise
98 I-Premise
) I-Premise
achieved I-Premise
comparable I-Premise
QOL I-Premise
results I-Premise
. I-Premise

Although O
the O
study O
was O
not O
designed O
or O
powered O
to O
evaluate O
survival O
, O
a B-Premise
survival I-Premise
trend I-Premise
was I-Premise
noted I-Premise
favouring I-Premise
epoetin-alfa I-Premise
compared I-Premise
with I-Premise
placebo I-Premise
( I-Premise
median I-Premise
survival I-Premise
17 I-Premise
vs I-Premise
11 I-Premise
months I-Premise
[ I-Premise
p I-Premise
= I-Premise
0.126 I-Premise
] I-Premise
) I-Premise
. I-Premise

Despite B-Premise
slow I-Premise
initial I-Premise
symptom I-Premise
improvement I-Premise
, I-Premise
GJJ B-Claim
was I-Claim
associated I-Claim
with I-Claim
better I-Claim
long-term I-Claim
results I-Claim
and I-Claim
is I-Claim
therefore I-Claim
the I-Claim
treatment I-Claim
of I-Claim
choice I-Claim
in I-Claim
patients I-Claim
with I-Claim
a I-Claim
life I-Claim
expectancy I-Claim
of I-Claim
2 I-Claim
months I-Claim
or I-Claim
longer I-Claim
. I-Claim

Amitriptyline B-Claim
is I-Claim
the I-Claim
most I-Claim
common I-Claim
analgesic I-Claim
adjuvant I-Claim
used I-Claim
in I-Claim
cancer I-Claim
patients I-Claim
with I-Claim
neuropathic I-Claim
pain I-Claim
, I-Claim
even O
though O
no B-Claim
specific I-Claim
studies I-Claim
have I-Claim
demonstrated I-Claim
a I-Claim
benefit I-Claim
. I-Claim

