These B-Premise
effects I-Premise
remained I-Premise
when I-Premise
statistically I-Premise
controlling I-Premise
for I-Premise
baseline I-Premise
levels I-Premise
of I-Premise
distress I-Premise
, I-Premise
immunity I-Premise
, I-Premise
and I-Premise
health I-Premise
as I-Premise
well I-Premise
as I-Premise
sociodemographic I-Premise
, I-Premise
disease I-Premise
, I-Premise
and I-Premise
cancer I-Premise
treatment I-Premise
variables I-Premise
. I-Premise

During B-Premise
the I-Premise
study I-Premise
, I-Premise
31.7 I-Premise
% I-Premise
of I-Premise
placebo-treated I-Premise
patients I-Premise
achieved I-Premise
a I-Premise
> I-Premise
or I-Premise
= I-Premise
2 I-Premise
g/dL I-Premise
HgB I-Premise
increase I-Premise
compared I-Premise
with I-Premise
72.7 I-Premise
% I-Premise
of I-Premise
epoetin-treated I-Premise
patients I-Premise
( I-Premise
P I-Premise
< I-Premise
.0001 I-Premise
) I-Premise
. I-Premise

The O
primary O
endpoint O
was O
biochemical O
relapse O
according O
to O
the O
modified O
1997-American O
Society O
for O
Therapeutic O
Radiology O
and O
Oncology O
and O
Phoenix O
definitions O
. O

A O
total O
of O
769 O
patients O
were O
randomized O
to O
EXE O
25 O
mg/d O
( O
n O
= O
366 O
) O
or O
MA O
( O
n O
= O
403 O
) O
40 O
mg O
four O
times O
daily O
. O

The B-Premise
survival I-Premise
benefit I-Premise
, I-Premise
adjusted I-Premise
for I-Premise
prognostic I-Premise
factors I-Premise
in I-Premise
a I-Premise
multivariate I-Premise
analysis I-Premise
, I-Premise
remained I-Premise
significant I-Premise
( I-Premise
p=0.001 I-Premise
) I-Premise
. I-Premise

The B-Premise
advantage I-Premise
lasted I-Premise
for I-Premise
all I-Premise
the I-Premise
duration I-Premise
of I-Premise
chemotherapy I-Premise
. I-Premise

The B-Premise
surviving I-Premise
fraction I-Premise
was I-Premise
significantly I-Premise
higher I-Premise
in I-Premise
the I-Premise
vaccine I-Premise
group I-Premise
based I-Premise
on I-Premise
Kaplan-Meier I-Premise
analysis I-Premise
. I-Premise

Chemotherapy B-Claim
is I-Claim
moderately I-Claim
efficient I-Claim
as I-Claim
a I-Claim
treatment I-Claim
for I-Claim
pancreatic I-Claim
adenocarcinoma I-Claim
, I-Claim
but B-Claim
patient I-Claim
survival I-Claim
and I-Claim
quality I-Claim
of I-Claim
life I-Claim
has I-Claim
improved I-Claim
with I-Claim
this I-Claim
modality I-Claim
in I-Claim
some I-Claim
trials I-Claim
. I-Claim

After B-Premise
a I-Premise
median I-Premise
follow-up I-Premise
of I-Premise
23 I-Premise
months I-Premise
, I-Premise
both I-Premise
groups I-Premise
had I-Premise
similar I-Premise
progression-free I-Premise
survival I-Premise
( I-Premise
medians I-Premise
of I-Premise
15.0 I-Premise
months I-Premise
for I-Premise
docetaxel-carboplatin I-Premise
and I-Premise
14.8 I-Premise
months I-Premise
for I-Premise
paclitaxel-carboplatin I-Premise
";" I-Premise
hazard I-Premise
ratio I-Premise
[ I-Premise
HR I-Premise
] I-Premise
docetaxel-paclitaxel I-Premise
= I-Premise
0.97 I-Premise
, I-Premise
95 I-Premise
% I-Premise
confidence I-Premise
interval I-Premise
[ I-Premise
CI I-Premise
] I-Premise
= I-Premise
0.83 I-Premise
to I-Premise
1.13 I-Premise
";" I-Premise
P I-Premise
= I-Premise
.707 I-Premise
) I-Premise
, I-Premise
overall I-Premise
survival I-Premise
rates I-Premise
at I-Premise
2 I-Premise
years I-Premise
( I-Premise
64.2 I-Premise
% I-Premise
and I-Premise
68.9 I-Premise
% I-Premise
, I-Premise
respectively I-Premise
";" I-Premise
HR I-Premise
= I-Premise
1.13 I-Premise
, I-Premise
95 I-Premise
% I-Premise
CI I-Premise
= I-Premise
0.92 I-Premise
to I-Premise
1.39 I-Premise
";" I-Premise
P I-Premise
= I-Premise
.238 I-Premise
) I-Premise
, I-Premise
and I-Premise
objective I-Premise
tumor I-Premise
( I-Premise
58.7 I-Premise
% I-Premise
and I-Premise
59.5 I-Premise
% I-Premise
, I-Premise
respectively I-Premise
";" I-Premise
difference I-Premise
between I-Premise
docetaxel I-Premise
and I-Premise
paclitaxel I-Premise
= I-Premise
-0.8 I-Premise
% I-Premise
, I-Premise
95 I-Premise
% I-Premise
CI I-Premise
= I-Premise
-8.6 I-Premise
% I-Premise
to I-Premise
7.1 I-Premise
% I-Premise
";" I-Premise
P I-Premise
= I-Premise
.868 I-Premise
) I-Premise
and I-Premise
CA-125 I-Premise
( I-Premise
75.8 I-Premise
% I-Premise
and I-Premise
76.8 I-Premise
% I-Premise
, I-Premise
respectively I-Premise
";" I-Premise
difference I-Premise
docetaxel-paclitaxel I-Premise
= I-Premise
-1.0 I-Premise
% I-Premise
, I-Premise
95 I-Premise
% I-Premise
CI I-Premise
= I-Premise
-7.2 I-Premise
% I-Premise
to I-Premise
5.1 I-Premise
% I-Premise
";" I-Premise
P I-Premise
= I-Premise
.794 I-Premise
) I-Premise
response I-Premise
rates I-Premise
. I-Premise

To O
compare O
directly O
the O
effect O
of O
intensity-modulated O
radiotherapy O
( O
IMRT O
) O
vs. O
conventional O
radiotherapy O
( O
CRT O
) O
on O
salivary O
flow O
and O
quality O
of O
life O
( O
QoL O
) O
in O
patients O
with O
early-stage O
nasopharyngeal O
carcinoma O
( O
NPC O
) O
. O

They O
were O
stratified O
by O
radiotherapy O
( O
early O
, O
late O
, O
or O
none O
) O
, O
stage O
( O
extensive O
or O
limited O
) O
, O
response O
( O
complete O
or O
partial O
) O
, O
and O
cooperative O
group O
( O
National O
Cancer O
Institute O
of O
Canada-Clinical O
Trials O
Group O
or O
European O
Organization O
for O
Research O
and O
Treatment O
of O
Cancer O
) O
. O

The B-Premise
estimated I-Premise
treatment I-Premise
effects I-Premise
( I-Premise
intervention I-Premise
minus I-Premise
