Algunos B-Claim
estudios I-Claim
también I-Claim
han I-Claim
sugerido I-Claim
que I-Claim
la I-Claim
gemcitabina I-Claim
se I-Claim
tolera I-Claim
bien I-Claim
y I-Claim
es I-Claim
eficaz I-Claim
en I-Claim
estos I-Claim
pacientes. I-Claim

El O
grupo O
de O
control O
fue O
instruido O
para O
realizar O
el O
tratamiento O
de O
autogestión O
. O

La B-Premise
toxicidad I-Premise
no I-Premise
hematológica I-Premise
grave I-Premise
fue I-Premise
infrecuente I-Premise
en I-Premise
ambos I-Premise
grupos, I-Premise
incluyendo I-Premise
eventos I-Premise
cardíacos I-Premise
de I-Premise
grado I-Premise
3/4 I-Premise
( I-Premise
AT I-Premise
, I-Premise
3 I-Premise
% I-Premise
; I-Premise
AC I-Premise
, I-Premise
4 I-Premise
% I-Premise
) I-Premise
. I-Premise

A B-Premise
los I-Premise
seis I-Premise
meses I-Premise
de I-Premise
seguimiento, I-Premise
la I-Premise
mayoría I-Premise
de I-Premise
estos I-Premise
efectos I-Premise
se I-Premise
mantuvieron I-Premise
y I-Premise
surgió I-Premise
un I-Premise
efecto I-Premise
de I-Premise
la I-Premise
intervención I-Premise
sobre I-Premise
la I-Premise
calidad I-Premise
de I-Premise
vida I-Premise
específica I-Premise
del I-Premise
cáncer I-Premise
de I-Premise
mama. I-Premise

Unas B-Premise
concentraciones I-Premise
plasmáticas I-Premise
elevadas I-Premise
del I-Premise
factor I-Premise
de I-Premise
crecimiento I-Premise
endotelial I-Premise
vascular I-Premise
A I-Premise
( I-Premise
VEGF-A I-Premise
) I-Premise
se I-Premise
asociaron I-Premise
a I-Premise
un I-Premise
mayor I-Premise
beneficio I-Premise
del I-Premise
bevacizumab I-Premise
( I-Premise
no I-Premise
significativo I-Premise
estadísticamente I-Premise
) I-Premise
. I-Premise

La O
expansión O
pulmonar O
se O
evaluó O
mediante O
TC O
de O
tórax O
obtenida O
0 O
, O
1 O
, O
3 O
y O
6 O
meses O
después O
de O
la O
pleurodesis O
. O

La O
satisfacción O
se O
analizó O
con O
la O
prueba O
exacta O
de O
Fisher. O

Cuarenta O
y O
cinco O
pacientes O
fueron O
elegibles O
, O
de O
los O
cuales O
34 O
fueron O
aleatorizados O
( O
media O
( O
s.d. O
) O
edad O
de O
70 O
( O
11-8 O
) O
años O
) O
. O

Se O
llevó O
a O
cabo O
un O
ensayo O
aleatorio O
de O
fase O
III O
para O
determinar O
si O
el O
tratamiento O
combinado O
con O
ácido O
13-cis-retinoico O
( O
13-CRA O
) O
más O
interferón O
alfa-2a O
( O
IFNalpha2a O
) O
es O
superior O
al O
IFNalpha2a O
solo O
en O
pacientes O
con O
carcinoma O
de O
células O
renales O
( O
CCR O
) O
avanzado. O

En B-Premise
una I-Premise
mediana I-Premise
de I-Premise
seguimiento I-Premise
de I-Premise
30 I-Premise
meses, I-Premise
el I-Premise
letrozol I-Premise
mejoró I-Premise
significativamente I-Premise
la I-Premise
supervivencia I-Premise
libre I-Premise
de I-Premise
enfermedad I-Premise
( I-Premise
DFS I-Premise
; I-Premise
P I-Premise
< I-Premise
0,001 I-Premise
) I-Premise
, I-Premise
el I-Premise
punto I-Premise
final I-Premise
primario I-Premise
, I-Premise
en I-Premise
comparación I-Premise
con I-Premise
el I-Premise
placebo I-Premise
( I-Premise
hazard I-Premise
ratio I-Premise
[ I-Premise
HR I-Premise
] I-Premise
para I-Premise
la I-Premise
recurrencia I-Premise
o I-Premise
el I-Premise
cáncer I-Premise
de I-Premise
mama I-Premise
contralateral I-Premise
0,58 I-Premise
; I-Premise
95 I-Premise
% I-Premise
intervalo I-Premise
de I-Premise
confianza I-Premise
[ I-Premise
CI I-Premise
] I-Premise
0,45 I-Premise
, I-Premise
0,76 I-Premise
] I-Premise
P I-Premise
< I-Premise
0.001 I-Premise
) I-Premise
. I-Premise

Estos B-Premise
resultados I-Premise
se I-Premise
asociaron I-Premise
a I-Premise
puntuaciones I-Premise
de I-Premise
dolor I-Premise
más I-Premise
altas I-Premise
tras I-Premise
el I-Premise
procedimiento I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
pacientes I-Premise
de I-Premise
la I-Premise
SEMS I-Premise
( I-Premise
diferencia I-Premise
media I-Premise
de I-Premise
la I-Premise
puntuación I-Premise
de I-Premise
los I-Premise
síntomas I-Premise
de I-Premise
dolor I-Premise
del I-Premise
QLQ I-Premise
C-30 I-Premise
de I-Premise
la I-Premise
Organización I-Premise
Europea I-Premise
para I-Premise
la I-Premise
Investigación I-Premise
y I-Premise
el I-Premise
Tratamiento I-Premise
del I-Premise
Cáncer I-Premise
en I-Premise
la I-Premise
semana I-Premise
1=11,13 I-Premise
; I-Premise
IC I-Premise
del I-Premise
95 I-Premise
% I-Premise
: I-Premise
2,89-19,4 I-Premise
; I-Premise
P=0,01 I-Premise
) I-Premise
. I-Premise

La B-Premise
disuria I-Premise
se I-Premise
resolvió I-Premise
más I-Premise
rápidamente I-Premise
en I-Premise
los I-Premise
pacientes I-Premise
implantados I-Premise
con I-Premise
103Pd, I-Premise
pero B-Premise
no I-Premise
se I-Premise
vio I-Premise
afectada I-Premise
por I-Premise
el I-Premise
uso I-Premise
de I-Premise
radioterapia I-Premise
suplementaria I-Premise
y/o I-Premise
terapia I-Premise
de I-Premise
privación I-Premise
de I-Premise
andrógenos. I-Premise

El O
presente O
estudio O
demostró O
que O
la O
TAD O
con O
el O
antagonista O
de O
la O
hormona O
liberadora O
de O
gonadotropina O
( O
GhRH O
) O
degarelix O
no O
es O
inferior O
al O
tratamiento O
combinado O
con O
el O
agonista O
de O
la O
LHRH O
goserelina O
y O
bicalutamida O
en O
cuanto O
a O
la O
reducción O
del O
volumen O
de O
la O
próstata O
durante O
el O
período O
de O
tratamiento O
de O
3 O
meses O
. O

Estos B-Claim
resultados I-Claim
proporcionan I-Claim
un I-Claim
apoyo I-Claim
adicional I-Claim
a I-Claim
la I-Claim
eficacia I-Claim
de I-Claim
la I-Claim
abiraterona I-Claim
en I-Claim
esta I-Claim
población. I-Claim

Las B-Premise
pacientes I-Premise
más I-Premise
jóvenes I-Premise
( I-Premise
< I-Premise
40 I-Premise
años I-Premise
) I-Premise
que I-Premise
recibieron I-Premise
goserelina I-Premise
sola I-Premise
volvieron I-Premise
a I-Premise
su I-Premise
estado I-Premise
premenopáusico I-Premise
a I-Premise
los I-Premise
6 I-Premise
meses I-Premise
de I-Premise
haber I-Premise
dejado I-Premise
la I-Premise
terapia I-Premise
, I-Premise
mientras I-Premise
que I-Premise
las I-Premise
que I-Premise
recibieron I-Premise
CMF I-Premise
mostraron I-Premise
cambios I-Premise
marginales I-Premise
respecto I-Premise
a I-Premise
sus I-Premise
puntuaciones I-Premise
iniciales I-Premise
de I-Premise
sofocos I-Premise
. I-Premise

Los O
del O
grupo O
de O
tratamiento O
tomaron O
además O
FJD O
, O
50 O
-100 O
mL O
cada O
vez O
, O
dos O
veces O
al O
día O
. O

Los B-Premise
cambios I-Premise
en I-Premise
las I-Premise
puntuaciones I-Premise
de I-Premise
CdV I-Premise
por I-Premise
período I-Premise
de I-Premise
4 I-Premise
semanas I-Premise
en I-Premise
el I-Premise
grupo I-Premise
ATP I-Premise
mostraron I-Premise
en I-Premise
general I-Premise
un I-Premise
menor I-Premise
deterioro I-Premise
que I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
control: I-Premise
puntuaciones I-Premise
físicas I-Premise
( I-Premise
-0,2 I-Premise
% I-Premise
frente I-Premise
a I-Premise
-2,4 I-Premise
% I-Premise
; I-Premise
P I-Premise
= I-Premise
0,0002 I-Premise
) I-Premise
; I-Premise
puntuaciones I-Premise
funcionales I-Premise
( I-Premise
+0,4 I-Premise
% I-Premise
frente I-Premise
a I-Premise
-5,5 I-Premise
% I-Premise
; I-Premise
P I-Premise
= I-Premise
0,02 I-Premise
) I-Premise
; I-Premise
puntuaciones I-Premise
psicológicas I-Premise
( I-Premise
-0,7 I-Premise
% I-Premise
frente I-Premise
