EXE B-Claim
prolonga I-Claim
el I-Claim
tiempo I-Claim
de I-Claim
supervivencia, I-Claim
el I-Claim
tiempo I-Claim
hasta I-Claim
la I-Claim
progresión I-Claim
del I-Claim
tumor I-Claim
y I-Claim
el I-Claim
tiempo I-Claim
hasta I-Claim
el I-Claim
fracaso I-Claim
del I-Claim
tratamiento I-Claim
en I-Claim
comparación I-Claim
con I-Claim
MA I-Claim
y I-Claim
ofrece I-Claim
una I-Claim
opción I-Claim
de I-Claim
tratamiento I-Claim
bien I-Claim
tolerada I-Claim
para I-Claim
las I-Claim
mujeres I-Claim
posmenopáusicas I-Claim
con I-Claim
cáncer I-Claim
de I-Claim
mama I-Claim
avanzado I-Claim
progresivo I-Claim
que I-Claim
experimentaron I-Claim
el I-Claim
fracaso I-Claim
del I-Claim
tamoxifeno I-Claim
. I-Claim

La B-Claim
AT I-Claim
mejora I-Claim
significativamente I-Claim
el I-Claim
TTP I-Claim
y I-Claim
la I-Claim
ORR I-Claim
en I-Claim
comparación I-Claim
con I-Claim
la I-Claim
AC I-Claim
en I-Claim
pacientes I-Claim
con I-Claim
CMB, I-Claim
pero B-Claim
no I-Claim
hay I-Claim
diferencias I-Claim
en I-Claim
la I-Claim
SG. I-Claim

Proponemos B-Claim
que I-Claim
los I-Claim
niveles I-Claim
de I-Claim
expresión I-Claim
de I-Claim
VEGF I-Claim
en I-Claim
el I-Claim
MPE I-Claim
podrían I-Claim
servir I-Claim
como I-Claim
marcador I-Claim
pronóstico I-Claim
para I-Claim
la I-Claim
terapia I-Claim
con I-Claim
bevacizumab I-Claim
. I-Claim

Los B-Claim
ensayos I-Claim
con I-Claim
HDCT I-Claim
de I-Claim
intensificación I-Claim
tardía I-Claim
no I-Claim
han I-Claim
mostrado I-Claim
una I-Claim
ventaja I-Claim
en I-Claim
la I-Claim
supervivencia I-Claim
global I-Claim
. I-Claim

Estos B-Claim
datos I-Claim
demostraron I-Claim
una I-Claim
ventaja I-Claim
significativa I-Claim
de I-Claim
4,5 I-Claim
meses I-Claim
de I-Claim
mediana I-Claim
de I-Claim
SG I-Claim
con I-Claim
la I-Claim
combinación I-Claim
de I-Claim
lapatinib I-Claim
y I-Claim
trastuzumab I-Claim
y I-Claim
apoyan I-Claim
el I-Claim
bloqueo I-Claim
dual I-Claim
de I-Claim
HER2 I-Claim
en I-Claim
pacientes I-Claim
con I-Claim
CMB I-Claim
HER2-positivo I-Claim
muy I-Claim
pretratado. I-Claim

Los B-Claim
regímenes I-Claim
de I-Claim
quimioterapia I-Claim
estándar I-Claim
suelen I-Claim
considerarse I-Claim
demasiado I-Claim
tóxicos I-Claim
para I-Claim
los I-Claim
pacientes I-Claim
de I-Claim
edad I-Claim
avanzada I-Claim
. I-Claim

El B-Claim
bevacizumab I-Claim
, I-Claim
un I-Claim
anticuerpo I-Claim
monoclonal I-Claim
humanizado I-Claim
contra I-Claim
el I-Claim
factor I-Claim
de I-Claim
crecimiento I-Claim
endotelial I-Claim
vascular I-Claim
( I-Claim
VEGF I-Claim
) I-Claim
, I-Claim
ha I-Claim
demostrado I-Claim
ser I-Claim
eficaz I-Claim
para I-Claim
suprimir I-Claim
la I-Claim
acumulación I-Claim
de I-Claim
líquido I-Claim
pleural I-Claim
. I-Claim

La B-Claim
calidad I-Claim
de I-Claim
vida I-Claim
fue I-Claim
similar I-Claim
en I-Claim
ambos I-Claim
brazos. I-Claim

La B-Claim
intervención I-Claim
redujo I-Claim
la I-Claim
fatiga I-Claim
y I-Claim
mejoró I-Claim
la I-Claim
vitalidad, I-Claim
la I-Claim
capacidad I-Claim
aeróbica, I-Claim
la I-Claim
fuerza I-Claim
muscular I-Claim
y I-Claim
la I-Claim
actividad I-Claim
física I-Claim
y I-Claim
funcional, I-Claim
así I-Claim
como I-Claim
el I-Claim
bienestar I-Claim
emocional, I-Claim
pero B-Claim
no I-Claim
la I-Claim
calidad I-Claim
de I-Claim
vida. I-Claim

En B-Claim
el I-Claim
grupo I-Claim
de I-Claim
espera I-Claim
vigilante, I-Claim
los I-Claim
efectos I-Claim
secundarios I-Claim
pueden I-Claim
deberse I-Claim
a I-Claim
la I-Claim
progresión I-Claim
del I-Claim
tumor. I-Claim

El B-Claim
letrozol I-Claim
debe I-Claim
considerarse I-Claim
para I-Claim
todas I-Claim
las I-Claim
mujeres I-Claim
que I-Claim
completen I-Claim
el I-Claim
tamoxifeno; I-Claim
los B-Claim
nuevos I-Claim
resultados I-Claim
del I-Claim
análisis I-Claim
post-desenmascaramiento I-Claim
sugieren I-Claim
que I-Claim
el I-Claim
tratamiento I-Claim
con I-Claim
letrozol I-Claim
también I-Claim
debe I-Claim
considerarse I-Claim
para I-Claim
todas I-Claim
las I-Claim
mujeres I-Claim
libres I-Claim
de I-Claim
enfermedad I-Claim
durante I-Claim
períodos I-Claim
de I-Claim
hasta I-Claim
5 I-Claim
años I-Claim
tras I-Claim
la I-Claim
finalización I-Claim
del I-Claim
tamoxifeno I-Claim
adyuvante I-Claim
. I-Claim

La B-Claim
adición I-Claim
de I-Claim
E I-Claim
a I-Claim
G I-Claim
no I-Claim
aumentó I-Claim
las I-Claim
toxicidades I-Claim
hematológicas I-Claim
. I-Claim

La B-Claim
TEA I-Claim
no I-Claim
mejoró I-Claim
significativamente I-Claim
la I-Claim
calidad I-Claim
del I-Claim
sueño I-Claim
en I-Claim
esta I-Claim
muestra I-Claim
heterogénea I-Claim
de I-Claim
pacientes I-Claim
con I-Claim
linfoma; I-Claim
sin B-Claim
embargo, I-Claim
los I-Claim
subgrupos I-Claim
clínicamente I-Claim
identificables I-Claim
parecieron I-Claim
beneficiarse. I-Claim

No B-Claim
se I-Claim
demostró I-Claim
una I-Claim
mejora I-Claim
medible I-Claim
en I-Claim
una I-Claim
medida I-Claim
general I-Claim
de I-Claim
la I-Claim
calidad I-Claim
de I-Claim
vida. I-Claim

El B-Claim
ejercicio I-Claim
orientado I-Claim
a I-Claim
la I-Claim
escápula I-Claim
tuvo I-Claim
efectos I-Claim
beneficiosos I-Claim
sobre I-Claim
el I-Claim
dolor I-Claim
, I-Claim
la I-Claim
calidad I-Claim
de I-Claim
vida I-Claim
y I-Claim
aspectos I-Claim
de I-Claim
la I-Claim
fuerza I-Claim
. I-Claim

Cetuximab B-Claim
ofrece I-Claim
importantes I-Claim
beneficios I-Claim
en I-Claim
cuanto I-Claim
a I-Claim
la I-Claim
CVRS I-Claim
y I-Claim
la I-Claim
supervivencia I-Claim
de I-Claim
los I-Claim
pacientes I-Claim
pretratados I-Claim
con I-Claim
CCR I-Claim
avanzado I-Claim
de I-Claim
tipo I-Claim
salvaje. I-Claim

Este B-Claim
estudio I-Claim
representa, I-Claim
hasta I-Claim
donde I-Claim
sabemos, I-Claim
el I-Claim
mayor I-Claim
análisis I-Claim
de I-Claim
la I-Claim
CVRS I-Claim
como I-Claim
factor I-Claim
pronóstico I-Claim
en I-Claim
pacientes I-Claim
con I-Claim
cáncer I-Claim
de I-Claim
cabeza I-Claim
y I-Claim
cuello I-Claim
localmente I-Claim
avanzado. I-Claim

Estos B-Claim
resultados I-Claim
proporcionan I-Claim
un I-Claim
apoyo I-Claim
adicional I-Claim
a I-Claim
la I-Claim
eficacia I-Claim
de I-Claim
la I-Claim
abiraterona I-Claim
en I-Claim
esta I-Claim
población. I-Claim

El B-Claim
tratamiento I-Claim
de I-Claim
mantenimiento I-Claim
con I-Claim
erlotinib I-Claim
prolonga I-Claim
significativamente I-Claim
la I-Claim
supervivencia I-Claim
libre I-Claim
de I-Claim
progresión I-Claim
sin I-Claim
comprometer I-Claim
la I-Claim
CVRS I-Claim
del I-Claim
paciente I-Claim
en I-Claim
comparación I-Claim
con I-Claim
el I-Claim
placebo I-Claim
, I-Claim
con I-Claim
cierta I-Claim
mejora I-Claim
de I-Claim
los I-Claim
síntomas I-Claim
. I-Claim

El B-Claim
GEM I-Claim
no I-Claim
proporciona I-Claim
una I-Claim
ventaja I-Claim
en I-Claim
comparación I-Claim
con I-Claim
el I-Claim
PLD I-Claim
en I-Claim
términos I-Claim
de I-Claim
TTP I-Claim
en I-Claim
pacientes I-Claim
con I-Claim
cáncer I-Claim
de I-Claim
ovario I-Claim
que I-Claim
experimentan I-Claim
una I-Claim
recurrencia I-Claim
dentro I-Claim
de I-Claim
los I-Claim
12 I-Claim
meses I-Claim
posteriores I-Claim
al I-Claim
tratamiento I-Claim
primario, I-Claim
pero I-Claim
debería I-Claim
considerarse I-Claim
en I-Claim
el I-Claim
espectro I-Claim
de I-Claim
fármacos I-Claim
que I-Claim
posiblemente I-Claim
se I-Claim
utilicen I-Claim
en I-Claim
el I-Claim
entorno I-Claim
de I-Claim
rescate I-Claim
. I-Claim

No B-Claim
hubo I-Claim
diferencias I-Claim
significativas I-Claim
en I-Claim
las I-Claim
puntuaciones I-Claim
globales I-Claim
de I-Claim
la I-Claim
CdV I-Claim
entre I-Claim
los I-Claim
brazos I-Claim
de I-Claim
tratamiento I-Claim
o I-Claim
en I-Claim
serie I-Claim
. I-Claim

En B-Claim
conclusión, I-Claim
el I-Claim
tratamiento I-Claim
con I-Claim
carboplatino I-Claim
y I-Claim
etopósido I-Claim
puede I-Claim
mejorar I-Claim
tanto I-Claim
la I-Claim
calidad I-Claim
de I-Claim
vida I-Claim
como I-Claim
la I-Claim
supervivencia I-Claim
de I-Claim
los I-Claim
pacientes I-Claim
con I-Claim
CPNM I-Claim
avanzado. I-Claim

La B-Claim
quimioterapia I-Claim
de I-Claim
inducción I-Claim
con I-Claim
TPF I-Claim
antes I-Claim
de I-Claim
la I-Claim
RT I-Claim
no I-Claim
sólo I-Claim
mejora I-Claim
la I-Claim
supervivencia I-Claim
y I-Claim
reduce I-Claim
la I-Claim
toxicidad I-Claim
en I-Claim
comparación I-Claim
con I-Claim
la I-Claim
PF, I-Claim
sino I-Claim
que I-Claim
también I-Claim
parece I-Claim
mejorar I-Claim
la I-Claim
CVRS I-Claim
global I-Claim
de I-Claim
forma I-Claim
más I-Claim
sostenible I-Claim
. I-Claim

Estos B-Claim
análisis I-Claim
confirman I-Claim
que I-Claim
EVE I-Claim
+ I-Claim
EXE I-Claim
proporciona I-Claim
un I-Claim
beneficio I-Claim
clínico I-Claim
sin I-Claim
impactar I-Claim
negativamente I-Claim
en I-Claim
la I-Claim
CVRS I-Claim
en I-Claim
pacientes I-Claim
con I-Claim
RH I-Claim
( I-Claim
+ I-Claim
) I-Claim
ABC I-Claim
que I-Claim
recurrieron/progresaron I-Claim
con I-Claim
AINEs I-Claim
previos I-Claim
frente I-Claim
a I-Claim
la I-Claim
terapia I-Claim
endocrina I-Claim
sola I-Claim
. I-Claim

Nuestro B-Claim
estudio I-Claim
muestra I-Claim
que, I-Claim
a I-Claim
pesar I-Claim
de I-Claim
los I-Claim
efectos I-Claim
secundarios I-Claim
del I-Claim
tratamiento, I-Claim
los I-Claim
pacientes I-Claim
con I-Claim
cáncer I-Claim
colorrectal I-Claim
metastásico, I-Claim
en I-Claim
los I-Claim
que I-Claim
ha I-Claim
fracasado I-Claim
el I-Claim
fluorouracilo, I-Claim
tienen I-Claim
una I-Claim
mayor I-Claim
supervivencia, I-Claim
menos I-Claim
síntomas I-Claim
relacionados I-Claim
con I-Claim
el I-Claim
tumor I-Claim
y I-Claim
una I-Claim
mejor I-Claim
calidad I-Claim
de I-Claim
vida I-Claim
cuando I-Claim
se I-Claim
les I-Claim
trata I-Claim
con I-Claim
irinotecán I-Claim
que I-Claim
con I-Claim
cuidados I-Claim
de I-Claim
apoyo I-Claim
únicamente. I-Claim

No B-Claim
se I-Claim
observaron I-Claim
diferencias I-Claim
en I-Claim
la I-Claim
calidad I-Claim
de I-Claim
vida. I-Claim

El B-Claim
tamoxifeno I-Claim
disminuye I-Claim
la I-Claim
incidencia I-Claim
del I-Claim
cáncer I-Claim
de I-Claim
mama I-Claim
invasivo I-Claim
y I-Claim
no I-Claim
invasivo I-Claim
. I-Claim

El B-Claim
AM I-Claim
no I-Claim
redujo I-Claim
significativamente I-Claim
la I-Claim
esofagitis I-Claim
> I-Claim
/= I-Claim
grado I-Claim
3 I-Claim
en I-Claim
los I-Claim
pacientes I-Claim
que I-Claim
recibieron I-Claim
radioterapia I-Claim
hiperfraccionada I-Claim
y I-Claim
quimioterapia I-Claim
. I-Claim

No B-Claim
hubo I-Claim
diferencias I-Claim
significativas I-Claim
entre I-Claim
los I-Claim
dos I-Claim
esquemas I-Claim
examinados I-Claim
en I-Claim
cuanto I-Claim
a I-Claim
la I-Claim
mejora I-Claim
de I-Claim
la I-Claim
KP I-Claim
o I-Claim
la I-Claim
QOL I-Claim
, I-Claim
pero I-Claim
parecía I-Claim
haber I-Claim
una I-Claim
tendencia I-Claim
a I-Claim
favor I-Claim
del I-Claim
esquema I-Claim
3w4 I-Claim
. I-Claim

El B-Claim
efecto I-Claim
parecía I-Claim
depender I-Claim
de I-Claim
la I-Claim
dosis. I-Claim

El B-Claim
tratamiento I-Claim
con I-Claim
MEV I-Claim
fue I-Claim
bien I-Claim
tolerado I-Claim
y I-Claim
demostró I-Claim
actividad I-Claim
clínica I-Claim
en I-Claim
pacientes I-Claim
con I-Claim
CPRC I-Claim
. I-Claim

Las B-Claim
extrapolaciones I-Claim
de I-Claim
estos I-Claim
datos I-Claim
sugieren I-Claim
que I-Claim
la I-Claim
radioterapia I-Claim
puede I-Claim
no I-Claim
ser I-Claim
un I-Claim
tratamiento I-Claim
rentable I-Claim
a I-Claim
menos I-Claim
que I-Claim
dé I-Claim
lugar I-Claim
a I-Claim
una I-Claim
tasa I-Claim
de I-Claim
recurrencia I-Claim
que I-Claim
sea I-Claim
al I-Claim
menos I-Claim
un I-Claim
5 I-Claim
% I-Claim
inferior I-Claim
en I-Claim
términos I-Claim
absolutos I-Claim
a I-Claim
la I-Claim
de I-Claim
los I-Claim
tratados I-Claim
sin I-Claim
radioterapia I-Claim
. I-Claim

Los B-Claim
resultados I-Claim
de I-Claim
este I-Claim
estudio I-Claim
han I-Claim
demostrado I-Claim
la I-Claim
importancia I-Claim
de I-Claim
la I-Claim
CVRS I-Claim
basal I-Claim
como I-Claim
factor I-Claim
predictivo I-Claim
significativo I-Claim
e I-Claim
independiente I-Claim
de I-Claim
la I-Claim
CRL I-Claim
en I-Claim
pacientes I-Claim
con I-Claim
cáncer I-Claim
de I-Claim
cabeza I-Claim
y I-Claim
cuello I-Claim
localmente I-Claim
avanzado. I-Claim

El B-Claim
tratamiento I-Claim
con I-Claim
epoetina I-Claim
alfa I-Claim
fue I-Claim
bien I-Claim
tolerado. I-Claim

En B-Claim
comparación I-Claim
con I-Claim
el I-Claim
régimen I-Claim
EP I-Claim
, I-Claim
el I-Claim
régimen I-Claim
PCDE I-Claim
produjo I-Claim
mayores I-Claim
tasas I-Claim
de I-Claim
respuesta I-Claim
y I-Claim
mejores I-Claim
tasas I-Claim
de I-Claim
supervivencia I-Claim
en I-Claim
pacientes I-Claim
con I-Claim
CPCP I-Claim
extenso I-Claim
sin I-Claim
afectar I-Claim
a I-Claim
la I-Claim
calidad I-Claim
de I-Claim
vida I-Claim
de I-Claim
los I-Claim
pacientes I-Claim
durante I-Claim
la I-Claim
quimioterapia I-Claim
. I-Claim

La B-Claim
perfusión I-Claim
intraperitoneal I-Claim
de I-Claim
verapamilo I-Claim
aumenta I-Claim
la I-Claim
eficacia I-Claim
de I-Claim
los I-Claim
fármacos I-Claim
quimioterápicos, I-Claim
prolonga I-Claim
la I-Claim
supervivencia I-Claim
y I-Claim
mejora I-Claim
la I-Claim
calidad I-Claim
de I-Claim
vida. I-Claim

El B-Claim
ejercicio I-Claim
grupal I-Claim
supervisado I-Claim
proporcionó I-Claim
beneficios I-Claim
funcionales I-Claim
y I-Claim
psicológicos I-Claim
tras I-Claim
una I-Claim
intervención I-Claim
de I-Claim
12 I-Claim
semanas I-Claim
y I-Claim
seis I-Claim
meses I-Claim
después I-Claim
. I-Claim

El B-Claim
tratamiento I-Claim
con I-Claim
PB+G I-Claim
aumentó I-Claim
la I-Claim
incidencia I-Claim
de I-Claim
neutropenia I-Claim
grave I-Claim
y I-Claim
disnea, I-Claim
aunque B-Claim
el I-Claim
régimen I-Claim
fue I-Claim
generalmente I-Claim
bien I-Claim
tolerado. I-Claim

En B-Claim
el I-Claim
linfoma I-Claim
de I-Claim
bajo I-Claim
grado I-Claim
recurrente, I-Claim
la I-Claim
fludarabina I-Claim
mejora I-Claim
la I-Claim
SLP, I-Claim
la I-Claim
SLT I-Claim
y I-Claim
las I-Claim
puntuaciones I-Claim
de I-Claim
la I-Claim
función I-Claim
social I-Claim
en I-Claim
comparación I-Claim
con I-Claim
el I-Claim
CVP, I-Claim
pero I-Claim
no I-Claim
mejora I-Claim
la I-Claim
SG. I-Claim

Tanto B-Claim
el I-Claim
III I-Claim
+ I-Claim
ISG I-Claim
como I-Claim
el I-Claim
III I-Claim
solo I-Claim
demostraron I-Claim
reducciones I-Claim
pre-post I-Claim
en I-Claim
los I-Claim
síntomas I-Claim
depresivos I-Claim
y I-Claim
altas I-Claim
tasas I-Claim
de I-Claim
utilización I-Claim
en I-Claim
comparación I-Claim
con I-Claim
otros I-Claim
tratamientos I-Claim
basados I-Claim
en I-Claim
la I-Claim
web I-Claim
para I-Claim
la I-Claim
depresión I-Claim
. I-Claim

En B-Claim
las I-Claim
pacientes I-Claim
con I-Claim
carcinoma I-Claim
de I-Claim
mama I-Claim
metastásico I-Claim
tratado I-Claim
con I-Claim
antraciclinas, I-Claim
la I-Claim
capecitabina I-Claim
más I-Claim
docetaxel I-Claim
aumentó I-Claim
significativamente I-Claim
la I-Claim
supervivencia I-Claim
global I-Claim
en I-Claim
comparación I-Claim
con I-Claim
el I-Claim
docetaxel I-Claim
solo. I-Claim

Es B-Claim
factible I-Claim
realizar I-Claim
un I-Claim
ECA I-Claim
ciego I-Claim
que I-Claim
investigue I-Claim
el I-Claim
papel I-Claim
de I-Claim
la I-Claim
administración I-Claim
de I-Claim
la I-Claim
epidural I-Claim
y I-Claim
la I-Claim
WIC I-Claim
para I-Claim
la I-Claim
analgesia I-Claim
postoperatoria I-Claim
tras I-Claim
la I-Claim
LCR. I-Claim

No B-Claim
se I-Claim
encontraron I-Claim
diferencias I-Claim
en I-Claim
la I-Claim
RSA I-Claim
entre I-Claim
los I-Claim
pacientes I-Claim
asignados I-Claim
al I-Claim
azar I-Claim
a I-Claim
la I-Claim
crema I-Claim
de I-Claim
caléndula I-Claim
o I-Claim
a I-Claim
la I-Claim
de I-Claim
Essex. I-Claim

El B-Claim
carboplatino/vinorelbina I-Claim
es I-Claim
bien I-Claim
tolerado I-Claim
por I-Claim
los I-Claim
pacientes I-Claim
de I-Claim
edad I-Claim
avanzada I-Claim
con I-Claim
CPNM I-Claim
en I-Claim
estadio I-Claim
extenso. I-Claim

Las B-Claim
tasas I-Claim
de I-Claim
amenorrea I-Claim
difieren I-Claim
significativamente I-Claim
según I-Claim
el I-Claim
brazo I-Claim
de I-Claim
tratamiento, I-Claim
siendo I-Claim
el I-Claim
brazo I-Claim
de I-Claim
AT I-Claim
el I-Claim
que I-Claim
tiene I-Claim
la I-Claim
tasa I-Claim
más I-Claim
baja. I-Claim

La B-Claim
anemia I-Claim
es I-Claim
una I-Claim
consecuencia I-Claim
esperada I-Claim
de I-Claim
los I-Claim
regímenes I-Claim
intensivos I-Claim
de I-Claim
quimioterapia I-Claim
administrados I-Claim
a I-Claim
pacientes I-Claim
con I-Claim
leucemia I-Claim
aguda I-Claim
. I-Claim

Aunque B-Claim
los I-Claim
regímenes I-Claim
de I-Claim
este I-Claim
estudio I-Claim
eran I-Claim
similares I-Claim
en I-Claim
el I-Claim
sentido I-Claim
de I-Claim
que I-Claim
incluían I-Claim
taxanos, I-Claim
las I-Claim
puntuaciones I-Claim
medias I-Claim
de I-Claim
utilidad I-Claim
y I-Claim
los I-Claim
patrones I-Claim
longitudinales I-Claim
de I-Claim
las I-Claim
puntuaciones I-Claim
de I-Claim
utilidad I-Claim
eran I-Claim
diferentes I-Claim
entre I-Claim
los I-Claim
regímenes. I-Claim

El B-Claim
tratamiento I-Claim
adyuvante I-Claim
postoperatorio I-Claim
con I-Claim
quimiorradiación I-Claim
tras I-Claim
la I-Claim
resección I-Claim
curativa I-Claim
del I-Claim
cáncer I-Claim
de I-Claim
recto I-Claim
era I-Claim
necesario I-Claim
para I-Claim
reducir I-Claim
la I-Claim
recidiva I-Claim
y I-Claim
mejorar I-Claim
la I-Claim
tasa I-Claim
de I-Claim
supervivencia. I-Claim

La B-Claim
CV, I-Claim
la I-Claim
CG I-Claim
y I-Claim
la I-Claim
CT I-Claim
no I-Claim
son I-Claim
superiores I-Claim
a I-Claim
la I-Claim
CP I-Claim
en I-Claim
términos I-Claim
de I-Claim
supervivencia I-Claim
global I-Claim
(SG). I-Claim
