Los B-Premise
resultados I-Premise
mostraron I-Premise
mejoras I-Premise
significativas I-Premise
en I-Premise
el I-Premise
estrés I-Premise
psicosocial I-Premise
y I-Premise
la I-Premise
calidad I-Premise
de I-Premise
vida I-Premise
tanto I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
apoyo I-Premise
al I-Premise
MBAT I-Premise
como I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
apoyo I-Premise
educativo I-Premise
inmediatamente I-Premise
después I-Premise
de I-Premise
la I-Premise
intervención I-Premise
";" I-Premise
sin B-Premise
embargo, I-Premise
los I-Premise
participantes I-Premise
con I-Premise
altos I-Premise
niveles I-Premise
de I-Premise
estrés I-Premise
al I-Premise
inicio I-Premise
de I-Premise
la I-Premise
intervención I-Premise
habían I-Premise
mejorado I-Premise
significativamente I-Premise
los I-Premise
resultados I-Premise
generales I-Premise
sólo I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
MBAT, I-Premise
tanto I-Premise
inmediatamente I-Premise
después I-Premise
de I-Premise
la I-Premise
intervención I-Premise
como I-Premise
a I-Premise
los I-Premise
6 I-Premise
meses. I-Premise

El B-Premise
cambio I-Premise
en I-Premise
la I-Premise
función I-Premise
física I-Premise
(fuerza I-Premise
muscular I-Premise
~ I-Premise
11%; I-Premise
capacidad I-Premise
de I-Premise
ejercicio I-Premise
aeróbico I-Premise
submáxima I-Premise
~ I-Premise
5% I-Premise
y I-Premise
deambulación I-Premise
~ I-Premise
12%), I-Premise
nivel I-Premise
de I-Premise
actividad I-Premise
física I-Premise
(~ I-Premise
24%) I-Premise
y I-Premise
masa I-Premise
magra I-Premise
(~ I-Premise
3%) I-Premise
difería I-Premise
significativamente I-Premise
entre I-Premise
los I-Premise
grupos I-Premise
después I-Premise
de I-Premise
la I-Premise
intervención, I-Premise
con I-Premise
cambios I-Premise
favorables I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
ejercicio I-Premise
en I-Premise
comparación I-Premise
con I-Premise
el I-Premise
grupo I-Premise
de I-Premise
atención I-Premise
habitual. I-Premise

LV5FU2 O
con O
leucovorina O
en O
dosis O
altas O
(LV), O
5-fluorouracil O
en O
perfusión O
semanal O
(5FU) O
(programa O
de O
AIO) O
y O
raltitrexedo O
han O
demostrado O
ser O
agentes O
activos O
en O
el O
tratamiento O
de O
primera O
línea O
del O
cáncer O
colorrectal. O

Los O
datos O
categóricos O
se O
compararon O
mediante O
un O
test O
Cochran-Mantel-Haenszel O
estratificado. O

El B-Premise
riesgo I-Premise
de I-Premise
sufrimiento I-Premise
representaba I-Premise
muy I-Premise
pocos I-Premise
efectos I-Premise
de I-Premise
moderación. I-Premise

Se B-Premise
produjo I-Premise
neutropenia I-Premise
de I-Premise
grado I-Premise
3/4 I-Premise
en I-Premise
el I-Premise
29% I-Premise
de I-Premise
los I-Premise
pacientes I-Premise
tratados I-Premise
semanalmente I-Premise
y I-Premise
en I-Premise
el I-Premise
34% I-Premise
de I-Premise
los I-Premise
tratados I-Premise
una I-Premise
vez I-Premise
cada I-Premise
3 I-Premise
semanas I-Premise
(P I-Premise
= I-Premise
0, I-Premise
35). I-Premise

Hemos O
realizado O
un O
ensayo O
multicéntrico O
aleatorizado O
para O
comparar O
los O
resultados O
de O
calidad O
de O
vida O
entre O
pacientes O
con O
cáncer O
de O
mama O
invasivo O
clínicamente O
nodul-negativo O
que O
recibieron O
biopsia O
de O
ganglios O
linfáticos O
centinela O
y O
pacientes O
que O
recibieron O
tratamiento O
axilar O
estándar. O

No B-Premise
se I-Premise
encontraron I-Premise
interacciones I-Premise
entre I-Premise
otros I-Premise
ámbitos I-Premise
de I-Premise
la I-Premise
calidad I-Premise
de I-Premise
vida, I-Premise
el I-Premise
funcionamiento, I-Premise
la I-Premise
angustia I-Premise
psicológica I-Premise
y I-Premise
la I-Premise
TCC. I-Premise

Cuatrocientos O
veinte O
pacientes O
no O
tratados O
con O
enfermedad O
medible O
fueron O
asignados O
al O
azar O
para O
recibir O
una O
perfusión O
de O
2 O
horas O
de O
LV O
(200 O
mg/ O
m O
(2) O
/ O
d) O
seguida O
de O
un O
bolo O
de O
5 O
FU O
(400 O
mg/ O
m O
(2) O
/ O
d) O
y O
una O
perfusión O
de O
22 O
horas O
(600 O
mg/ O
m O
(2) O
/ O
d) O
durante O
2 O
días O
consecutivos O
cada O
2 O
semanas, O
ya O
sea O
sola O
o O
junto O
con O
oxaliplatino O
85 O
mg/ O
m O
(2) O
como O
una O
perfusión O
de O
2 O
horas O
el O
día O
1. O

A B-Premise
los I-Premise
12 I-Premise
meses I-Premise
de I-Premise
posradioterapia, I-Premise
12 I-Premise
(un I-Premise
50,0%) I-Premise
y I-Premise
20 I-Premise
pacientes I-Premise
(un I-Premise
83,3%) I-Premise
del I-Premise
grupo I-Premise
de I-Premise
IMRT I-Premise
habían I-Premise
recuperado I-Premise
al I-Premise
menos I-Premise
el I-Premise
25% I-Premise
del I-Premise
flujo I-Premise
SWS I-Premise
y I-Premise
SPS I-Premise
antes I-Premise
de I-Premise
la I-Premise
radioterapia, I-Premise
respectivamente, I-Premise
