En B-Premise
los I-Premise
pacientes I-Premise
del I-Premise
grupo I-Premise
1 I-Premise
que I-Premise
presentaron I-Premise
ginecomastia I-Premise
o I-Premise
dolor I-Premise
en I-Premise
los I-Premise
senos I-Premise
se I-Premise
logró I-Premise
una I-Premise
disminución I-Premise
significativa I-Premise
de I-Premise
los I-Premise
síntomas I-Premise
en I-Premise
los I-Premise
que I-Premise
recibieron I-Premise
tamoxifeno I-Premise
(p I-Premise
< I-Premise
0, I-Premise
05). I-Premise

A B-Premise
los I-Premise
3 I-Premise
meses, I-Premise
los I-Premise
pacientes I-Premise
de I-Premise
G1 I-Premise
mantuvieron/mejoraron I-Premise
la I-Premise
función, I-Premise
los I-Premise
síntomas I-Premise
y I-Premise
las I-Premise
puntuaciones I-Premise
de I-Premise
un I-Premise
solo I-Premise
elemento I-Premise
(P I-Premise
<.02 I-Premise
) I-Premise
";" I-Premise
en I-Premise
G2, I-Premise
solo I-Premise
algunas I-Premise
escalas I-Premise
de I-Premise
función I-Premise
y I-Premise
síntomas I-Premise
mejoraron I-Premise
(P I-Premise
<.05 I-Premise
) I-Premise
";" I-Premise
en I-Premise
G3, I-Premise
la I-Premise
calidad I-Premise
de I-Premise
vida I-Premise
se I-Premise
mantuvo I-Premise
tan I-Premise
pobre I-Premise
como I-Premise
después I-Premise
de I-Premise
la I-Premise
radioterapia. I-Premise

El B-Claim
tratamiento I-Claim
DC/CIK I-Claim
es I-Claim
un I-Claim
método I-Claim
seguro I-Claim
y I-Claim
eficaz I-Claim
para I-Claim
el I-Claim
tratamiento I-Claim
de I-Claim
mantenimiento I-Claim
del I-Claim
cáncer I-Claim
de I-Claim
pulmón I-Claim
de I-Claim
células I-Claim
no I-Claim
pequeñas I-Claim
avanzado. I-Claim

Los B-Premise
costes I-Premise
durante I-Premise
el I-Premise
período I-Premise
de I-Premise
seguimiento I-Premise
no I-Premise
fueron I-Premise
diferentes I-Premise
entre I-Premise
los I-Premise
dos I-Premise
grupos. I-Premise

La B-Premise
tasa I-Premise
de I-Premise
remisión I-Premise
global, I-Premise
la I-Premise
tasa I-Premise
de I-Premise
remisión I-Premise
completa, I-Premise
la I-Premise
mediana I-Premise
de I-Premise
supervivencia I-Premise
y I-Premise
la I-Premise
tasa I-Premise
de I-Premise
supervivencia I-Premise
a I-Premise
largo I-Premise
plazo I-Premise
no I-Premise
fueron I-Premise
significativamente I-Premise
diferentes I-Premise
en I-Premise
los I-Premise
dos I-Premise
brazos I-Premise
de I-Premise
