16 B-Premise
(29%) I-Premise
des I-Premise
patients I-Premise
du I-Premise
groupe I-Premise
œsophagectomie I-Premise
ouverte I-Premise
ont I-Premise
présenté I-Premise
une I-Premise
infection I-Premise
pulmonaire I-Premise
au I-Premise
cours I-Premise
des I-Premise
2 I-Premise
premières I-Premise
semaines I-Premise
par I-Premise
rapport I-Premise
à I-Premise
5 I-Premise
(9%) I-Premise
dans I-Premise
le I-Premise
groupe I-Premise
peu I-Premise
invasif I-Premise
(risque I-Premise
relatif I-Premise
[RR] I-Premise
0,30, I-Premise
IC I-Premise
à I-Premise
95% I-Premise
0,12-0,76 I-Premise
"; I-Premise
" I-Premise
p=0,005 I-Premise
"). I-Premise

Les O
patients O
récemment O
diagnostiqués O
atteints O
d' O
un O
cancer O
avancé O
subissant O
une O
radiothérapie O
ont O
été O
randomisés O
dans O
des O
groupes O
d' O
intervention O
ou O
de O
contrôle O
QOL O
actifs. O

Le O
même O
traitement O
était O
destiné O
à O
se O
poursuivre O
pendant O
2 O
ans O
pour O
étudier O
les O
changements O
dans O
le O
métabolisme O
osseux. O

L' B-Claim
avantage I-Claim
de I-Claim
survie I-Claim
précédemment I-Claim
rapporté I-Claim
à I-Claim
l' I-Claim
appui I-Claim
de I-Claim
l' I-Claim
utilisation I-Claim
de I-Claim
la I-Claim
chimiothérapie I-Claim
adjuvante I-Claim
est I-Claim
maintenu I-Claim
lorsqu' I-Claim
il I-Claim
est I-Claim
ajusté I-Claim
en I-Claim
utilisant I-Claim
la I-Claim
méthodologie I-Claim
de I-Claim
survie I-Claim
ajustée I-Claim
en I-Claim
fonction I-Claim
de I-Claim
la I-Claim
qualité. I-Claim

La B-Premise
toxicité I-Premise
vésicale I-Premise
était I-Premise
plus I-Premise
fréquente I-Premise
à I-Premise
80 I-Premise
Gy I-Premise
qu' I-Premise
à I-Premise
70 I-Premise
Gy I-Premise
(p I-Premise
= I-Premise
0,039). I-Premise

Au O
total, O
53 O
patients O
ont O
rempli O
le O
questionnaire O
sur O
la O
qualité O
de O
vie O
et O
les O
résultats O
fonctionnels. O

Des O
effets O
significatifs O
ont O
été O
observés O
sur O
les O
scores O
de O
vitalité O
(taille O
d' O
effet O
0,55, O
IC O
à O
95% O
0,27 O
à O
0,82), O
de O
fonctionnement O
physique O
(0,37, O
0,09 O
à O
0,65), O
de O
fonction O
physique O
(0,37, O
0,10 O
à O
0,64), O
de O
fonction O
émotionnelle O
(0,32, O
0,05 O
à O
0,59), O
et O
de O
santé O
mentale O
(0,28, O
0,02 O
à O
0,56). O

Un O
total O
de O
104 O
patients O
atteints O
d' O
un O
cancer O
gynécologique O
à O
un O
stade O
avancé O
ont O
été O
recrutés O
et O
assignés O
au O
hasard O
à O
recevoir O
soit O
de O
l' O
acétate O
de O
mégestrol O
(MA) O
plus O
de O
l- O
carnitine, O
du O
célécoxib O
et O
des O
antioxydants O
(groupe O
1), O
soit O
de O
l' O
MA O
seule O
(groupe O
2). O

Les B-Premise
scores I-Premise
d' I-Premise
utilité I-Premise
étaient I-Premise
significativement I-Premise
