Examiner O
l' O
impact O
des O
conseils O
diététiques O
ou O
des O
suppléments O
nutritionnels O
sur O
les O
résultats O
des O
patients O
atteints O
de O
cancer: O
nutrition, O
morbidité O
et O
qualité O
de O
vie O
(QOL) O
pendant O
et O
3 O
mois O
après O
la O
radiothérapie. O

Dans B-Premise
le I-Premise
cadre I-Premise
de I-Premise
l' I-Premise
essai I-Premise
contrôlé I-Premise
randomisé, I-Premise
l' I-Premise
indice I-Premise
Barthel I-Premise
a I-Premise
démontré I-Premise
une I-Premise
diminution I-Premise
légère I-Premise
mais I-Premise
significative I-Premise
de I-Premise
la I-Premise
fonctionnalité I-Premise
avec I-Premise
la I-Premise
radiothérapie I-Premise
par I-Premise
rapport I-Premise
au I-Premise
groupe I-Premise
sans I-Premise
radiothérapie I-Premise
de I-Premise
l' I-Premise
essai. I-Premise

La B-Premise
cryoablation I-Premise
a I-Premise
été I-Premise
associée I-Premise
à I-Premise
des I-Premise
dysfonctionnements I-Premise
urinaires I-Premise
plus I-Premise
aigus I-Premise
(cryoablation I-Premise
moyenne I-Premise
de I-Premise
la I-Premise
fonction I-Premise
urinaire I-Premise
PCI I-Premise
= I-Premise
69,4 I-Premise
"; I-Premise
" I-Premise
EBRT I-Premise
moyenne I-Premise
= I-Premise
90,7 I-Premise
"; I-Premise
" I-Premise
P I-Premise
< I-Premise
0,001 I-Premise
") I-Premise
qui I-Premise
se I-Premise
sont I-Premise
résolus I-Premise
avec I-Premise
le I-Premise
temps. I-Premise

Un O
groupe O
a O
été O
traité O
avec O
une O
thérapie O
immunobiologique O
contre O
le O
cancer O
DC/CIK, O
et O
l'autre O
a O
été O
pris O
comme O
groupe O
témoin. O

Les B-Premise
patients I-Premise
sans I-Premise
douleur I-Premise
présentaient I-Premise
un I-Premise
risque I-Premise
de I-Premise
progression I-Premise
significativement I-Premise
plus I-Premise
faible I-Premise
à I-Premise
2 I-Premise
ans I-Premise
dans I-Premise
les I-Premise
deux I-Premise
groupes. I-Premise

Deux B-Claim
mois I-Claim
après I-Claim
le I-Claim
début I-Claim
du I-Claim
traitement, I-Claim
il I-Claim
n' I-Claim
y I-Claim
avait I-Claim
pas I-Claim
de I-Claim
différence I-Claim
significative I-Claim
de I-Claim
qualité I-Claim
de I-Claim
vie I-Claim
entre I-Claim
les I-Claim
bras. I-Claim

Le B-Premise
nombre I-Premise
de I-Premise
patients I-Premise
a I-Premise
compromis I-Premise
l' I-Premise
interprétation I-Premise
de I-Premise
l' I-Premise
analyse I-Premise
QOL, I-Premise
mais O
une B-Premise
réponse I-Premise
Hgb I-Premise
positive I-Premise
a I-Premise
été I-Premise
notée I-Premise
avec I-Premise
le I-Premise
traitement I-Premise
à I-Premise
l' I-Premise
epoétine I-Premise
alfa. I-Premise

Environ O
38% O
des O
patients O
ayant O
reçu O
de O
l' O
acide O
zoledronique O
à O
4 O
mg, O
28% O
ayant O
reçu O
de O
l' O
acide O
zoledronique O
à O
8/4 O
mg O
et O
31% O
ayant O
reçu O
un O
placebo O
ont O
terminé O
l' O
étude. O

Les O
données O
ont O
été O
analysées O
jusqu' O
à O
